round,train_loss,train_acc,val_acc,test_acc,test_loss,test_ece
1,0.23291901146777633,0.9210128495842782,0.8981982052326203,0.9017543971538544,0.2583788715172233,0.03494073655423239
2,0.11579295731545937,0.9608843537414966,0.918918929497401,0.9236841877301534,0.19766915531730966,0.04002964289253653
3,0.08505120458667753,0.9722222222222222,0.9288288235664368,0.9324561456839243,0.1857509907171653,0.038514923776541296
4,0.06251289135088703,0.9801587301587301,0.923423417409261,0.9412280857563019,0.1769601123668907,0.03837023895785841
5,0.04660646120144036,0.9848828420256992,0.930630628267924,0.9447368462880452,0.18208886668853982,0.03978264970256766
6,0.039832166893420375,0.9880952380952381,0.9279279351234436,0.9447368601957957,0.19224745039092864,0.03962613580673057
7,0.04154536429632846,0.9867724867724867,0.9333333233992259,0.9438596407572428,0.19597258926287553,0.03719592264194761
8,0.03113755240236731,0.9918745275888133,0.9288288116455078,0.9429824650287628,0.20943821543794974,0.04217992743796786
9,0.026075517514985245,0.9931972789115646,0.9333333233992259,0.9456140359242757,0.23149071270763352,0.048153810098594686
10,0.02546602466410464,0.9913076341647771,0.9333333273728689,0.9421052614847819,0.23617443440710764,0.05259661054571157
